type_dict_key,type_label,type_order,field_order,,field_label,field_master_term,field_dwc_term,field_solr_term
taxonomy,Taxonomy,0,0,,Scientific Name,dwc:scientificName,dwc:scientificName,dwc_scientificname_t
taxonomy,Taxonomy,0,1,,Higher Classfication,dwc:higherClassification,dwc:higherClassification,dwc_higherclassification_t
taxonomy,Taxonomy,0,2,,Kingdom,dwc:kingdom,dwc:kingdom,dwc_kingdom_t
taxonomy,Taxonomy,0,3,,Phylum,dwc:phylum,dwc:phylum,dwc_phylum_t
taxonomy,Taxonomy,0,4,,Class,dwc:class,dwc:class,dwc_class_t
taxonomy,Taxonomy,0,5,,Order,dwc:order,dwc:order,dwc_order_t
taxonomy,Taxonomy,0,6,,Family,dwc:family,dwc:family,dwc_family_t
taxonomy,Taxonomy,0,7,,Subfamily,idigbio:subfamily,idigbio:subfamily,idigbio_subfamily_t
taxonomy,Taxonomy,0,8,,Tribe,idigbio:tribe,idigbio:tribe,idigbio_tribe_t
taxonomy,Taxonomy,0,9,,Genus,dwc:genus,dwc:genus,dwc_genus_t
taxonomy,Taxonomy,0,10,,Specific Epithet,dwc:specificEpithet,dwc:specificEpithet,dwc_specificepithet_t
taxonomy,Taxonomy,0,11,,Infraspecific Epithet,dwc:infraspecificEpithet,dwc:infraspecificEpithet,dwc_infraspecificepithet_t
taxonomy,Taxonomy,0,12,,Scientific Name Authors,dwc:scientificNameAuthorship,dwc:scientificNameAuthorship,dwc_scientificnameauthorship_t
taxonomy,Taxonomy,0,13,,Taxon Rank,dwc:taxonRank,dwc:taxonRank,dwc_taxonrank_t
taxonomy,Taxonomy,0,14,,Nomenclatural Status,dwc:nomenclaturalStatus,dwc:nomenclaturalStatus,dwc_nomenclaturalstatus_t
taxonomy,Taxonomy,0,15,,Nomenclatural Code,dwc:nomenclaturalCode,dwc:nomenclaturalCode,dwc_nomenclaturalcode_t
taxonomy,Taxonomy,0,16,,Vernacular Name,dwc:vernacularName,dwc:vernacularName,dwc_vernacularname_t
taxonomy,Taxonomy,0,17,,Taxon Remarks,dwc:taxonRemarks,dwc:taxonRemarks,dwc_taxonremarks_t
specimen,Specimen,1,0,,Type Status,dwc:typeStatus,dwc:typeStatus,dwc_typestatus_t
specimen,Specimen,1,1,,Identified By,dwc:identifiedBy,dwc:identifiedBy,dwc_identifiedby_t
specimen,Specimen,1,2,,Date Identified,dwc:dateIdentified,dwc:dateIdentified,dwc_dateidentified_t
specimen,Specimen,1,3,,Previous Identifications,dwc:previousIdentifications,dwc:previousIdentifications,dwc_previousidentifications_t
specimen,Specimen,1,4,,Identification Qualifier,dwc:identificationQualifier,dwc:identificationQualifier,dwc_identificationqualifier_t
specimen,Specimen,1,5,,Identification Remarks,dwc:identificationRemarks,dwc:identificationRemarks,dwc_identificationremarks_t
specimen,Specimen,1,6,,Identification References,dwc:identificationReferences,dwc:identificationReferences,dwc_identificationreferences_t
specimen,Specimen,1,7,,Catalog Number,dwc:catalogNumber,dwc:catalogNumber,dwc_catalognumber_t
specimen,Specimen,1,8,,Other Catalog Numbers,dwc:otherCatalogNumbers,dwc:otherCatalogNumbers,dwc_othercatalognumbers_t
specimen,Specimen,1,9,,Barcode,idigbio:barcodeValue,idigbio:barcodeValue,idigbio_barcodevalue_t
